<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.05.11	12335.95	12558.80	11944.30	12026.80	135822	0	60
2022.05.12	11999.95	12133.80	11693.75	11893.50	153827	0	0
2022.05.13	11913.55	12434.40	11906.30	12373.40	123632	0	60
2022.05.16	12468.05	12499.65	12192.70	12234.20	132278	0	0
2022.05.17	12253.10	12579.40	12242.60	12574.60	114725	0	60
2022.05.18	12581.70	12593.20	11863.85	11894.50	115005	0	60
2022.05.19	11897.55	12075.25	11703.75	11903.90	145720	0	60
2022.05.20	11912.60	12095.40	11490.55	11835.30	127066	0	60
2022.05.23	11913.95	12075.95	11783.15	12053.40	129184	0	60
2022.05.24	11836.60	11897.60	11576.10	11802.10	127729	0	60
2022.05.25	11820.75	12034.20	11674.05	11868.95	127678	0	60
2022.05.26	11908.40	12342.05	11848.40	12258.75	115864	0	60
2022.05.27	12260.55	12718.05	12221.15	12710.35	103811	0	60
2022.05.30	12691.65	12881.10	12672.40	12808.20	55166	0	60
2022.05.31	12802.70	12826.10	12480.90	12661.25	131559	0	60
2022.06.01	12666.40	12821.50	12454.75	12542.20	118591	0	60
2022.06.02	12547.05	12897.00	12441.35	12894.25	112964	0	60
2022.06.03	12902.20	12944.95	12501.20	12547.10	105806	0	60
2022.06.06	12581.10	12811.50	12526.35	12600.05	107378	0	60
2022.06.07	12605.25	12738.70	12411.50	12682.20	107746	0	60
2022.06.08	12695.15	12781.60	12578.15	12617.15	105543	0	60
2022.06.09	12609.80	12725.55	12256.90	12292.30	109703	0	60
2022.06.10	12298.95	12338.45	11821.95	11865.95	106614	0	25
2022.06.13	11713.30	11725.55	11257.00	11339.65	130679	0	60
2022.06.14	11352.75	11509.75	11212.35	11337.25	125857	0	60
2022.06.15	11354.30	11767.10	11334.80	11608.45	123238	0	60
2022.06.16	11634.15	11745.25	11042.00	11170.00	136583	0	0
2022.06.17	11192.60	11370.30	11094.45	11279.05	133983	0	60
2022.06.20	11333.70	11413.45	11250.95	11397.45	66134	0	60
2022.06.21	11385.20	11652.45	11374.20	11564.45	99691	0	60
2022.06.22	11539.00	11720.95	11296.65	11519.20	112383	0	60
2022.06.23	11522.10	11742.60	11436.10	11665.90	123225	0	60
2022.06.24	11678.45	12117.70	11662.20	12082.70	97832	0	60
2022.06.27	12113.45	12236.00	11967.60	12047.70	111112	0	60
2022.06.28	12037.65	12149.30	11637.90	11648.90	108589	0	60
2022.06.29	11659.70	11725.45	11541.70	11672.70	111094	0	60
2022.06.30	11668.05	11674.80	11327.25	11501.70	118760	0	60
2022.07.01	11475.85	11601.60	11357.85	11589.85	122075	0	60
2022.07.04	11571.90	11590.90	11478.00	11532.15	53087	0	60
2022.07.05	11568.70	11789.45	11363.80	11787.20	119074	0	60
2022.07.06	11799.45	11948.80	11704.55	11873.95	118514	0	60
2022.07.07	11881.35	12142.45	11811.95	12090.20	96233	0	60
2022.07.08	12093.05	12186.70	11927.90	12134.75	104888	0	60
2022.07.11	12102.00	12106.40	11830.50	11884.40	101056	0	60
2022.07.12	11866.65	12000.75	11688.93	11755.83	108982	0	60
2022.07.13	11759.13	11942.73	11459.13	11708.63	117553	0	64
2022.07.14	11706.48	11810.33	11488.43	11786.43	120985	0	64
2022.07.15	11791.18	11997.33	11716.93	11990.83	104685	0	64
2022.07.18	12025.08	12160.31	11835.81	11886.66	96611	0	64
2022.07.19	11881.66	12303.96	11865.26	12294.71	93718	0	68
2022.07.20	12297.11	12493.11	12212.46	12401.96	104225	0	68
