DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2021-07-01,14574.7,14622.45,14489.0,14560.85,72509
2021-07-02,14553.1,14745.0,14529.75,14717.0,67129
2021-07-05,14719.35,14738.0,14691.4,14709.0,27988
2021-07-06,14710.4,14804.55,14640.55,14775.8,79743
2021-07-07,14778.15,14898.9,14741.4,14824.55,85240
2021-07-08,14825.65,14836.55,14556.5,14728.25,116902
2021-07-09,14727.65,14846.7,14656.3,14828.05,90792
2021-07-12,14848.5,14902.0,14800.0,14888.25,74005
2021-07-13,14891.0,15010.25,14811.0,14874.75,76367
2021-07-14,14878.55,15009.55,14855.8,14910.55,88106
2021-07-15,14907.05,14976.05,14723.4,14785.15,98087
2021-07-16,14792.75,14882.5,14670.5,14682.25,96246
2021-07-19,14691.85,14695.1,14457.85,14602.35,129599
2021-07-20,14607.4,14795.65,14529.4,14733.15,105360
2021-07-21,14740.65,14850.15,14681.9,14847.65,89364
2021-07-22,14848.15,14993.9,14841.9,14987.15,75484
2021-07-23,14993.4,15131.9,14948.5,15102.4,68810
2021-07-26,15109.8,15148.8,15053.9,15131.3,82077
2021-07-27,15133.9,15146.35,14786.85,14902.6,103888
2021-07-28,14897.35,15086.45,14886.6,14995.1,113315
2021-07-29,14999.8,15096.55,14926.3,14934.05,84844
2021-07-30,14932.4,14990.65,14823.9,14974.15,103545
2021-08-02,14996.2,15067.95,14946.45,14970.45,88280
2021-08-03,14973.45,15063.2,14863.3,15048.1,89118
2021-08-04,15057.85,15123.6,15012.85,15096.1,78682
2021-08-05,15091.6,15181.45,15084.1,15175.6,64804
2021-08-06,15178.65,15182.15,15062.65,15101.55,66715
2021-08-09,15098.6,15157.75,15016.1,15134.45,66447
2021-08-10,15139.2,15169.6,15009.1,15058.75,65442
2021-08-11,15053.5,15131.5,14976.95,15021.35,74706
2021-08-12,15011.65,15101.4,14952.9,15086.65,59782
2021-08-13,15083.8,15152.65,15066.3,15133.15,52565
2021-08-16,15126.9,15149.0,14927.65,15136.65,74536
2021-08-17,15138.4,15143.15,14907.3,14975.4,94534
2021-08-18,14980.0,15044.25,14814.0,14829.75,88822
2021-08-19,14854.3,15005.3,14717.55,14952.3,124292
2021-08-20,14942.05,15106.3,14858.8,15101.55,98778
2021-08-23,15114.9,15342.7,15109.9,15328.7,68050
2021-08-24,15331.35,15390.0,15316.2,15365.0,62330
